user_id,company_name,company_email,company_ceo,industry_id,ownership_type_id,description,location,no_of_offices,website,no_of_employees,established_in,fax,phone,logo,country_id,state_id,city_id,facebook,twitter,linkedin,pinterest,youtube,is_active,is_featured,created_at
112,OSK,test@osk.com,test,"Banking/Financial Services",Private,<p>ddd</p>,"bajaj nagar",1,https://www.oskitsolutions.in/,1-10,2023,111,876543234,,India,Maharashtra,Nagpur,https://www.oskitsolutions.in/,https://www.oskitsolutions.in/,https://www.oskitsolutions.in/,https://www.oskitsolutions.in/,https://www.oskitsolutions.in/,0,0,"2023-11-27 16:32:43"
97,"Vahak Transportation",Vahak@gmail.com,aryan,Travel/Tourism/Transportation,Private,,"Nagpur, Maharashtra",1,https://www.vahak.in/,1-10,2016,,1234567895,company_logo_1575757361.JPG,India,Maharashtra,Nagpur,,,,,,1,0,"2023-11-22 15:54:38"
97,"Avid Electronic",Avid@gmail.com,arina,Electronics,Private,,"Nagpur, Maharashtra",1,https://www.avid.com,1-10,2014,,1234567895,company_logo_1904718646.JPG,India,Maharashtra,Nagpur,,,,,,1,1,"2023-11-22 14:38:51"
97,"kerala tourism",keral@gmail.com,Nagesh,"Information Technology",Private,,"Nagpur, Maharashtra",1,https://www.keralatourism.org/,1-10,2019,,1234567892,company_logo_560788657.png,India,Maharashtra,Nagpur,,,,,,1,1,"2023-11-22 14:30:51"
97,"Gurukrupa Academy",Gurukrupa@gmail.com,arun,Education/Training,Private,,"Nagpur, Maharashtra",1,https://www.britannica.com/,1-10,2019,,1234568794,company_logo_12828366.png,India,Maharashtra,Nagpur,,,,,,1,1,"2023-11-21 13:23:32"
97,"drs builders Developer",drs@gmail.com,rahul,"Builder & Developer",Private,,"Nagpur, Maharashtra",2,https://www.drsbuilders.in,1-10,2019,,1234567894,company_logo_2023767241.png,India,Maharashtra,Nagpur,,,,,,1,1,"2023-11-21 13:10:54"
97,"Sree Trading Company",shreeco@gmail.com,roy,Manufacturing,Private,,"nagpur maharashtra",1,http://www.shreecompany.in,11-50,2014,,9876541232,company_logo_900871409.png,India,Maharashtra,Nagpur,,,,,,1,1,"2023-11-21 13:02:20"
110,"Pyramid soultion Pvt",info@askpiramid.com,Ujwal,"Information Technology",Private,,"Hingna nagar",1,https://askpyramid.com/,1-10,2017,,7894561235,company_logo_449929527.jpg,India,Maharashtra,Nagpur,,,,,,1,1,"2023-11-20 11:31:26"
110,,,,"not available","not available",,,,,,,,,,"not available","not available","not available",,,,,,1,0,"2023-11-19 21:32:03"
108,"Suraj Pvt",suraj@gmail.com,"suraj ceo","Information Technology",Private,,"Nagpur, Maharashtra",1,http://www.surajdot.com,1-10,2023,,7894561231,,India,Maharashtra,Nagpur,,,,,,1,0,"2023-11-15 20:38:53"
97,"prashant Academy Pvt",prashant@gmail.com,,"Information Technology",NGO,,"Nagpur, Maharashtra",1,,1-10,2023,,,company_logo_14970506.png,India,Maharashtra,Nagpur,,,,,,1,0,"2023-11-15 18:29:09"
